rumah,alamat,harga,temppat_tidur,luas_bangunan,luas_lahan
Dijual Rumah Murah Dalam Perumahan,"Kalasan, Sleman",Rp 350.000.000,2,40,83
Dijual Rumah Murah Minimalis Siap Huni,"Godean, Sleman",Rp 385.000.000,2,50,97
Dijual Rumah Baru Cluster Pinggir Jalan Aspal di Potorono Banguntapan,"Banguntapan, Bantul",Rp 595.000.000,3,60,97
PROMO RUMAH DEKAT RS UAD TERMURAH FREE DESAI SESUKA HATI,"Ngemplak, Sleman",Rp 437.000.000,2,36,64
Rumah 2 Lantai termurah di kawasan Maguwo Sleman Free Balik Nama,"Maguwoharjo, Sleman",Rp 879.000.000,3,80,120
READY SIAP BANGUN RUMAH MINIMALIS MODERN LOKASI DEKAT STADION MAGUWO,"Ngemplak, Sleman",Rp 437.000.000,2,36,64
"Promo cash Keras 170 JT SHM , Balecatur","Gamping, Sleman",Rp 170.000.000,2,36,67
"Daaru Tirta Hutama Sisa 1 unit,harga bisa nego","Sleman, Sleman",Rp 437.000.000,2,36,62
RUMAH SIAP HUNI DALAM CLUSTER DI GODEAN SLEMAN,"Godean, Sleman",Rp 1.200.000.000,3,92,152
SANGAT MURAHRUMAH BARAT PASAR SLEMAN,"Sleman, Sleman",Rp 464.000.000,2,51,115
Rumah mewah di dekat kota Jogja hanya 500 jt an,"Godean, Sleman",Rp 581.000.000,2,45,90
Rumah Di Kuton Berbah Dengan Gudang Dan Halaman Parkir Luas Bagus Buat Pengusaha,"Berbah, Sleman",Rp 575.000.000,3,80,198
Rumah minimalis Lingkungan Asri di Kulon Progo 249 Jtan,"Nanggulan, Kulon Progo",Rp 249.700.000,2,40,74
"RUMAH SEDERHANA HARGA MURAH DI GODEAN, JOGJA","Godean, Sleman",Rp 353.000.000,2,40,84
